SMILES	STRID
COC(=O)C1=COC(=C1)C(=O)CCl	EN300-69496
COC1=CC(=C(C=C1)C(=O)C(C)Br)OC	EN300-72432
ClCC(=O)C1=C(C=CS1)Br	EN300-73402
CC(C)C(=O)CBr	EN300-72257
BrCC(=O)C1=CC=C(C=C1)OCC2=CC=CC=C2	EN300-71911
CCC(Br)C(=O)C1=CC=C(C=C1)OC	EN300-69202
C[N]1C=C(C=N1)C(=O)CBr	EN300-66389
C[N]1C=C(C=N1)C(=O)CBr	EN300-66387
FC2=C(C=C1CCC(NC1=C2)=O)C(=O)CBr	EN300-68167
ClCC(=O)C1=CC=C(Cl)S1	EN300-65509
BrC2CCCC1=C(C=CC=C1)C2=O	EN300-73493
FC(F)(Cl)C(=O)C1=COCC1	EN300-75494
NC(=O)NC1=CC=C(C=C1)C(=O)CCl	EN300-73550
NC(=O)COC1=CC=C(C=C1)C(=O)CCl	EN300-80593
CC1=CC=C(C=C1)[S](=O)(=O)CC(=O)CBr	EN300-81600
NC(=O)CCC1=CC=C(C=C1)C(=O)CCl	EN300-78355
CC(C)C1=CC=C(C=C1)C(=O)C(C)Br	EN300-91939
COC(=O)C1=CC2=C(C=C1)[NH]C=C2C(=O)CCl	EN300-90096
BrCC(=O)C1CCC1	EN300-103803
CC1=C(C=C(C(=C1)F)C(=O)CCl)F	EN300-103851
FC1=C(C=C(C=C1)C(=O)CCl)Cl	EN300-103647
BrCC(=O)C1=C[N](N=C1)C2=CC=CC=C2	EN300-94722
CC1=C(C=CC(=C1)C(=O)CCl)F	EN300-101068
CCC(Br)C(=O)C1=CC=C(C=C1)NC(=O)C	EN300-99917
CC1=C(C=C(C(=C1)C(=O)CCl)Cl)F	EN300-102190
CC(C)CC(=O)CCl	EN300-102501
CCC(C)C(=O)CCl	EN300-104903
CCC(CC)C(=O)CCl	EN300-104905
NC(=O)C1=CSC(=C1)C(=O)CCl	EN300-52734
COCCC(=O)CCl	EN300-108840
CC1=C(C(=CC(=C1)C(=O)CCl)C)F	EN300-84947
BrCC(=O)C1CCOCC1	EN300-111134
BrCC(=O)C1=CSC2=C1C=CC=C2	EN300-111009
CCC1=CC=C(C=C1)C(=O)CBr	EN300-111042
CCC(Br)C(=O)C1=CC=C(C=C1)Cl	EN300-109851
CC1(C)C(=O)NC2=C1C=C(C=C2)C(=O)CCl	EN300-109398
ClC2CC1=C(C=CC=C1)C2=O	EN300-112507
CC(=O)NCCC1=C(C=CC(=C1)C(=O)CCl)F	EN300-101073
ClC2CCC1=C(C=CC=C1)C2=O	EN300-113614
CC1=C(C=CC(=C1)C(=O)CBr)O	EN300-113735
CCC(=O)C(Cl)C(=O)OC	EN300-59729
CC(Cl)C(=O)C1=CC2=C(C=C1)OCC(=O)N2	EN300-22486
CCCCCC(=O)NC1=CC=C(C=C1)C(=O)CCl	EN300-05446
CC(Br)C(=O)C1=CC=C(C=C1)Cl	EN300-04458
CC(Cl)C(=O)C1=CC=C(C=C1)C	EN300-05606
